sid,schoolid,gpa,deved,raceethnic,termyear,parent1,parent2
111,3,3.358618,1,0,Fall 2018,1,1
111,3,3.8303387,1,0,Fall 2019,4,1
111,3,3.1957567,1,0,Fall 2020,1,1
111,3,2.9547117,1,0,Spring 2020,1,1
111,3,3.3236687,1,0,Spring 2021,1,1
111,3,3.6325989,1,0,Spring 2022,1,1
222,3,3.5,0,1,Fall 2018,4,3
222,3,2,0,1,Fall 2019,4,3
222,3,3.5,0,1,Fall 2020,4,3
222,3,3.25,0,1,Fall 2021,4,3
222,3,3.5,0,1,Spring 2019,4,3
222,3,2,0,1,Spring 2020,4,3
222,3,3.5,0,1,Spring 2021,4,3
222,3,3.25,0,1,Spring 2022,4,3
888,3,2.1620111,1,0,Fall 2018,1,1
888,3,3,0,0,Fall 2019,1,1
888,3,2.75,0,0,Fall 2020,1,1
888,3,1.5251151,1,0,Spring 2019,1,1
888,3,3,0,0,Spring 2020,1,1
888,3,2.75,0,0,Spring 2021,1,1
999,3,4,0,0,Fall 2018,4,1
999,3,3,0,0,Fall 2019,4,1
999,3,4,0,0,Spring 2019,4,1
999,3,3,0,0,Spring 2020,4,1
1111,1,2,0,1,Fall 2018,3,1
1111,1,2.9235179,1,1,Fall 2020,3,1
1111,1,2,0,1,Spring 2019,3,1
1111,1,1.9547288,1,1,Spring 2021,3,1
1234,2,3.25,0,1,Fall 2018,1,2
1234,2,3.3299999,0,1,Fall 2019,1,2
1234,2,3.25,0,1,Spring 2019,1,2
2345,2,3.0999999,0,0,Fall 2018,2,3
2345,2,3,0,0,Fall 2020,2,3
2345,2,3.0999999,0,0,Spring 2019,2,3
2345,2,3,0,0,Spring 2021,2,3
2345,2,1.640258,1,0,Spring 2022,2,3
3333,1,3,0,1,Fall 2018,1,4
3333,1,3.25,0,1,Fall 2019,1,4
3333,1,2.7659245,1,1,Fall 2020,1,4
3333,1,3.3233678,0,1,Spring 2019,1,4
3333,1,3.25,0,1,Spring 2020,1,4
3333,1,2.4115582,1,1,Spring 2021,1,4
3456,2,1.5,0,0,Fall 2018,3,3
3456,2,3,0,0,Fall 2019,3,3
3456,2,.62878126,1,0,Fall 2020,3,3
3456,2,3,0,0,Fall 2021,3,3
3456,2,1.5,0,0,Spring 2019,3,3
3456,2,3,0,0,Spring 2020,3,3
4444,1,4,0,0,Fall 2018,4,4
4444,1,3.95,0,0,Fall 2019,4,4
4444,1,3.7487445,1,0,Fall 2020,4,4
4444,1,3.95,0,0,Fall 2021,4,4
4444,1,3.95,0,0,Spring 2019,4,4
4444,1,3.95,0,0,Spring 2020,4,4
4444,1,3.8336353,1,0,Spring 2021,4,4
4444,1,3.95,0,0,Spring 2022,4,4
4567,2,2.22,0,1,Fall 2018,4,1
4567,2,3,0,1,Fall 2019,4,1
4567,2,2.0999999,0,1,Fall 2020,4,1
4567,2,2.22,0,1,Spring 2019,4,1
4567,2,3,0,1,Spring 2020,4,1
4567,2,2.0999999,0,1,Spring 2021,4,1
6666,2,1.95,0,0,Fall 2019,2,4
6666,2,1.95,0,0,Spring 2020,2,4
7777,2,3.2704227,1,1,Fall 2018,2,3
7777,2,3.0488951,1,1,Fall 2019,2,3
7777,2,3.0643492,1,1,Spring 2020,2,3
8888,2,3.0178881,1,0,Fall 2018,4,
8888,2,3.201067,1,0,Spring 2019,4,
9999,1,4,0,1,Fall 2018,4,4
9999,1,3.75,0,1,Fall 2019,4,4
9999,1,4,0,1,Fall 2020,4,4
9999,1,3.5,0,1,Fall 2021,3,4
9999,1,4,0,1,Spring 2019,4,4
9999,1,3.75,0,1,Spring 2020,4,4
9999,1,4,0,1,Spring 2021,4,4
9999,1,3.5,0,1,Spring 2022,3,4
